BRX1	Q08235
AVO1	Q08236
RFC4	P40339
WRS1	Q12109
TPT1	Q12272
RPL18A	P0CX49
HRP1	Q99383
RPL25	P04456
ALR1	Q08269
HRT1	Q08273
MED7	Q08278
CDC33	P07260
NOP8	Q08287
PSF3	Q12146
DCP1	Q12517
UTP23	Q12339
HSP10	P38910
DBP5	P20449
RAT1	Q02792
NOB1	Q08444
SGT1	Q08446
YOR060C	Q08457
RPL3	P14126
CDC21	P06785
UFE1	P41834
RTS2	P40962
RKI1	Q12189
NUP1	P20676
OST2	P46964
VAM3	Q12241
TFC7	Q12415
RPO31	P04051
RPT5	P33297
RIO1	Q12196
PFY1	P07274
THI80	P35202
SPP2	Q02521
SMP3	Q04174
RPB2	P08518
PUP1	P25043
SME1	P32581
MTR10	Q99189
GLN4	P13188
MED4	Q12343
HEM15	P16622
LAS17	Q12446
TOA1	P32773
DED1	P06634
NOC2	P39744
RET1	P53622
RPB10	P22139
RFC1	P38630
RPB8	P20436
WTM2	Q12206
MGE1	P38523
KIN4	Q01919
DFR1	P07807
ESA1	Q08649
APC5	Q08683
CLP1	Q08685
SEC63	P14906
TRE2	Q08693
CDC31	P06704
RPT4	P53549
GCD1	P09032
RPN8	Q08723
YOR262W	Q08726
FSF1	Q12029
YTM1	Q12024
HEM4	P06174
PLP2	Q12017
YOR287C	Q12481
RRS1	Q08746
NOP58	Q12499
HSH49	Q99181
MYO2	P19524
SCD5	P34758
ALA1	P40825
KRE5	P22023
RPA43	P46669
RPA190	P10964
SOG2	Q08817
PRT1	P06103
PRE10	P21242
MRS6	P32864
NDD1	Q08887
NUD1	P32336
TFC8	Q12308
RET3	P53600
TAF3	Q12297
RRP12	Q12754
SWI1	P09547
ULP1	Q02724
ERG10	P41338
NOP4	P37838
TIM50	Q02776
GCR1	P07261
GPI2	P46961
MOT1	P32333
SEN54	Q02825
SEC16	P48415
NOG1	Q02892
SEC62	P21825
IDI1	P15496
TFB2	Q02939
SPC29	P33419
NAN1	Q02931
TBF1	Q02457
RPL5	P26321
GIP3	Q03016
RPL33A	P05743
NOP53	Q12080
PRP46	Q12417
RAD53	P22216
CDC60	P26637
MEX67	Q99257
SPT14	P32363
NAB3	P38996
TPK2	P06245
HRR25	P29295
TYW1	Q08960
IPL1	P38991
SRP72	P38688
NIP7	Q08962
BMS1	Q08965
SAR1	P20606
CET1	O13297
FAS2	P19097
NSL1	Q12143
RVB2	Q12464
SUI3	P09064
IQG1	Q12280
SRP68	P38687
YAH1	Q12184
BBP1	Q12365
DIM1	P41819
RPA135	P22138
TIF6	Q12522
MCM4	P30665
CCL1	P37366
HTS1	P07263
ARP7	Q12406
GLN1	P32288
TIP41	Q12199
TIF5	P38431
TAH18	Q12181
SEC8	P32855
TFB4	Q12004
DIB1	Q06819
ASA1	Q06822
SUA7	P29055
SRP54	P20424
RDS3	Q06835
PRE2	P30656
FHL1	P39521
COG4	Q06096
YTH1	Q06102
RPN7	Q06103
RPC40	P07703
DBF20	P32328
MRD1	Q06106
PIS1	P06197
CLB5	P30283
CTR1	P49573
YLH47	Q06493
SPN1	Q06505
RRP9	Q06506
RRP15	Q06511
NOC4	Q06512
SGV1	P23293
ORC4	P54791
RHO1	P06780
NUT2	Q06213
JIP5	Q06214
DPB2	P24482
BET2	P20133
PRP4	P20053
AOS1	Q06624
SEC23	P15303
SMX3	P54999
DPM1	P14020
PZF1	P39933
RPO26	P20435
RPC82	P32349
