AT5G38690	Q8RW95
AT5G40240	Q9FL08
AT5G40270	Q9FL05
AT5G40600	Q45GG8
AT5G41150	Q9LKI5
AT5G41270	Q84VV1
AT5G41560	Q9FFS4
AT5G41580	F4JYG0
AT5G41650	Q9FFR5
AT5G41980	Q9FHY5
AT5G42090	Q9FHX6
AT5G42870	Q9FMN2
AT5G44370	Q9FKV1
AT5G45260	P0DKH5
AT5G46640	Q9FIR1
AT5G46680	Q56XR6
AT5G46720	Q9FIQ3
AT5G46850	Q9LUK5
AT5G47080	P40228
AT5G47460	Q9FGL1
AT5G47690	B6EUB3
AT5G47760	Q8GWU0
AT5G48040	A0A178ULG7
AT5G48335	Q6AWV7
AT5G49500	P49966
AT5G49580	Q9FGY8
AT5G49580	Q9FGY8
AT5G49880	Q9LTY1
AT5G50430	Q9FK29
AT5G50550	Q9FGP3
AT5G50650	Q9FGP3
AT5G50780	F4KAF2
AT5G50990	Q9FI49
AT5G51280	Q9LU46
AT5G51410	P94088
AT5G52210	Q38921
AT5G52880	Q9FLX3
AT5G53000	Q8LDQ4
AT5G53010	A0A1P8BEZ2
AT5G55260	P48528
AT5G55630	Q8LBL1
AT5G55670	A0A654GBI9
AT5G57450	Q9FKM5
AT5G57890	Q9FJM5
AT5G58005	A0A178UFW9
AT5G58340	Q5XUY3
AT5G59460	Q9LTI4
AT5G59650	C0LGW2
AT5G60230	Q9LSS3
AT5G60280	Q9LSR9
AT5G60410	Q680Q4
AT5G60870	Q9FJG9
AT5G61150	Q9FNQ0
AT5G61310	Q9FLK2
AT5G61390	Q0V842
AT5G61580	Q9FKG3
AT5G61580	Q9FKG3
AT5G61970	Q9FH46
AT5G62600	Q8GUL2
AT5G63120	Q8W4R3
AT5G63280	Q8VZP2
AT5G63400	O82514
AT5G63520	Q9FMV0
AT5G63540	Q5XUX6
AT5G64010	A0A654GDS9
AT5G64470	Q9FGE9
AT5G64950	Q9LV83
AT5G65180	A0A178UAS8
AT5G65450	Q9FKP5
AT5G66710	Q9LVQ9
AT5G67530	Q9FJX0
AT5G67640	Q9FJV9
