l(2)gl	P08111
CG1785	Q9W3C2
CG1789	Q9W3C0
CG12075	A9YK55
Moe	Q9VQ56
CG1885	A9YK67
Rbm13	Q9W3B2
e(r)	Q24337
rdgA	Q01583
CG10962	Q8IRN0
CG4040	B5RJS0
CG7267	Q9W399
HP1b	Q9W396
CG32708	Q9W394
CG7033	Q9W392
CG7766	Q9W391
Bx42	P39736
CG7039	Q9W389
AP-1gamma	Q7KVR7
CG7065	Q7YZA2
fh	Q9W385
dalao	Q9W384
His3.3B	C0HL67
Ost48	Q24319
CG9034	Q9W380
Zpr1	Q9W379
mei-P26	Q9W378
CG12056	Q9W376
CG12118	Q9W375
CG12121	Q9W366
amx	Q9U4H5
Dsor1	Q24324
CG17754	Q86BQ6
ric8a	Q9W358
CG17446	Q9W352
c11.1	Q9W350
c12.1	Q9V3B6
CG34449	Q9W345
CG34352	A8JTM7
l(1)G0320	Q9W335
RpS28b	Q9W334
CG32699	Q0KHU5
Hex-A	Q9W330
Gga	Q9W329
CG3004	Q9W328
Aats-lys	Q9W327
CG3099	D5SHR3
l(1)G0232	Q9W323
nej	A9YKH0
CG15321	Q9W321
CG1354	Q8SWU7
CG9691	Q9W306
Idgf4	Q9W303
CG32685	Q9W2Y5
CG2972	Q9W2Y4
CG2974	Q9W2Y3
CG15309	Q9W2X7
l(1)G0230	Q9W2X6
CG34408	Q9W2X2
alpha-Man-I	Q8IRL4
Gip	P04146
l(1)G0289	Q9W2V9
CG17841	Q9V3S7
Psf3	Q9W2V7
flw	P48462
Neb-cGP	Q9W2U8
CG17255	Q9W2U7
CG2889	Q9W2U6
PPP4R2r	Q9W2U4
spri	Q8MQW8
CG32676	Q8SXD4
ras	Q07152
Tango5	Q9W2S1
Atg8a	Q9VEG5
CG1826	Q9W2S3
CG15211	Q9VZ71
sesB	Q26365
Imp	Q9VUW2
sbr	Q9U1H9
CG17333	Q9VZ64
CG2202	A9YL61
feo	Q9VZ62
CG2186	Q9VZ60
CG1637	Q9VZ58
CG1582	Q9VZ55
CG2145	Q9VZ49
CG2076	Q9VZ34
CG2061	Q9Y0Y7
Hsp60	O02649
CG11122	Q9VZ30
Rpt3	Q9V405
Gtp-bp	Q9U5L1
Klp10A	Q960Z0
CG18292	Q9VZ27
ran	A4V4A5
CG1908	C6SV09
Dlic2	Q9VZ20
l(1)10Bb	O97454
CG1657	Q9VZ08
Kap3	Q9VZ07
CG34348	Q9VZ05
CG1597	Q9VZ04
CG11752	Q9VZ01
CG1737	Q9VZ00
dsh	P51140
hop	Q24592
Tim8	Q9Y1A3
dlg1	P31007
Gs2	P20478
CG11727	Q9VYY9
CG1749	Q9VYY3
Spase25	Q9VYY2
CG32666	Q0KHT7
CG1572	Q9VYX8
RpII215	P04052
CG11699	Q9VYX5
CG11696	Q9VYX2
e(y)2	Q9VYX1
CG11695	Q9VYX0
rho-4	Q9VYW6
CG2247	Q9VYW5
CG1703	Q9VYW4
CG15220	Q9VYW3
Met	Q9VYW2
Ptp10D	P35992
CG2371	Q9VYV9
bif	Q8IR86
PhKgamma	Q9I7D0
FucT6	Q9VYV5
CG2446	Q9VYV4
CG1837	Q9VYV3
Tango10	Q7K187
CkIIbeta	P08182
Hsc70-3	P29844
CG1578	Q8MRI4
CG32663	Q9VYU0
p24-1	Q9VYT6
CG10347	A9YGL2
ATP7	Q9VYT4
CG2025	Q9VYT3
CG1847	Q9VYT2
CG11802	A9YGP0
CG15739	Q9VYT0
CG10353	Q76NS2
SelG	Q7Z2C4
CG1840	Q9VYS6
CG15738	Q9VYS5
Upf1	Q9VYS3
pot	Q9VYS2
CG1806	Q9VYR3
regucalcin	Q9VYR1
Chrac-16	Q9V452
CG15735	Q9VYR0
Tango4	Q9VYQ9
Usp7	Q9VYQ8
Ten-a	Q9VYN8
Rab40	Q9VYM8
CG42258	Q8SWS2
CG2556	Q9VYM2
CG11138	B7Z143
LIMK1	Q8IR79
CG1824	F6J669
CG32654	A9YGX8
CG15727	Q9VYK8
tomosyn	Q9VYK5
CkIalpha	P54367
Tis11	P47980
Smr	Q9VYK0
ade5	Q9I7S8
Pde9	Q9I7S6
CG32649	Q9VYI6
CG4407	Q9VYI5
mRpL49	Q9VYI3
CG4400	Q9VYI2
CG4645	Q9VYI1
hep	Q23977
lic	O62602
CG2200	Q9VYH3
CG32638	Q8IR72
CG15717	Q9VYG8
CG4330	Q9VYG7
CG4332	Q9VYG3
Bap60	Q9VYG2
CG12096	Q9VYG1
CG2453	Q9VYF8
sno	A8JUV0
REG	Q9V3P3
mew	Q24247
comt	P46461
HDAC4	M9PJM2
CG15743	Q9VYF2
CG1764	Q9VYF0
CG1622	Q9VYE9
CG15745	Q9VYE6
IP3K2	A0A0U2TSJ5
Jafrac1	Q9V3P0
RpS15Aa	P48149
CG1640	Q7KV27
Rbp1-like	A0A3Q7YR34
Tim9a	Q9VYD7
Yippee	Q9XZF0
CG1662	Q9VYD6
CG1673	Q9VYD5
CG1681	F6J6F4
Set2	Q9VYD1
Tango13	Q9VYB7
up	P19351
tth	Q9VYA9
Tango2	Q9VYA8
CG2691	Q9VYA7
NFAT	E1JJP6
CG9940	Q9VYA0
CG9941	F6JA49
g	P54362
CG11134	Q9VY93
CG11151	Q9VY92
CG10990	A9YHD2
rdgB	P43125
CG10992	Q9VY87
CG11103	Q9VY86
CG33174	Q86B55
Clic	Q9VY78
CG11092	Q9XZ06
CG11063	Q9VY77
CG32626	D0IQK3
ben	P35128
CG11590	Q9VY55
l(1)G0007	Q9VY54
mRpL38	Q9VY48
CG42271	Q8MR65
Fbxl4	A9YHM3
mRNA-capping-enzyme	Q9VY44
CG14414	Q8SY84
mRpS25	Q9VY28
rut	P32870
CG14408	Q8IR46
CG14411	Q9VY15
CG14407	Q8SXQ5
Flo-2	O61492
CG9009	Q9VXZ8
CG32594	Q9VXZ2
CG5541	Q9VXZ2
CG5548	Q9VXZ0
CG9053	Q9VXY9
Lsd-2	Q9VXY7
CG9065	Q9VXY5
CG15027	Q9VXY4
RpL37a	Q9VXX8
CG5877	Q9VXW9
Top1	P30189
HDAC6	Q8IR38
Scamp	Q9VXV6
Ahcy13	Q27580
CG6299	Q9VXV1
CG6294	Q9VXV2
CG6308	Q9VXU7
CG6340	Q9VXU4
Gmap	Q9VXU1
CG7860	Q9VXT7
CG7872	Q9VXT2
CG9215	Q9VXT1
CG9220	Q7KUZ9
sog	Q24025
CG8128	Q9VXR9
CG9240	Q9VXR8
Pis	Q8SX37
CG8134	Q9VXR6
CG9281	Q9VXR5
CG8184	Q8T3L0
l(1)G0136	Q8T3X9
Actr13E	P45890
CG11679	Q9VXQ8
CG8206	Q9VXQ7
Tcp-1zeta	Q9VXQ5
Graf	X2JDY8
mRpL3	Q8MRV7
Paf-AHalpha	Q9VXP4
mRpS30	Q9VXP3
CG8974	Q9VXP1
CG32581	Q8IR26
CG15602	Q4QQ70
PGRP-LE	Q9VXN9
sd	P30052
Chc	P29742
Aats-arg	Q9VXN4
CG8578	Q9VXN3
sun	Q9VXN2
UBL3	Q9VXN1
Myb	P04197
Gbeta13F	P27091
Gapdh2	P07487
CG16952	Q9VXM6
CG9056	Q9VXM5
CG9066	Q9VXM4
CG15916	Q8SXX0
shi	P27619
Lcch3	Q08832
Stim	P83094
CG8928	Q9VXL4
CG9170	Q9VXK9
CG8931	Q9VXK8
CG9172	Q9VXK7
eIF5	Q9VXK6
exd	P40427
CG8939	Q9VXK5
vap	Q8IR23
Nipsnap	Q9VXK0
Tob	Q9VXJ9
CG3415	Q9VXJ0
Pros28.1	P22769
eas	P54352
CG32576	Q59E43
CG3560	Q9VXI6
caz	Q7M3M8
CG9911	Q95TL8
CG3632	Q7YU03
CG9914	Q9VXI1
CG9915	B4F5R3
Cyp1	P25007
CG9917	Q9VXH7
CalpC	Q9VXH6
CG9919	Q9VXH5
CG9921	Q9VXH4
Dsp1	Q24537
U2af50	Q24562
nonA	Q04047
Fur2	P30432
CG9992	Q9VXH0
CG4239	Q9VXG9
TH1	Q24134
hang	Q9VXG1
CG9947	Q9VXG0
CG4420	Q9VXF9
eIF-2alpha	X2JFR6
CG34015	S0F2A2
Rbp2	Q9VA45
Arp14D	P45888
Pp2B-14D	Q27889
CanA-14F	Q9VXF1
Cap	Q9VPX6
crl	Q9VXE8
CG9784	Q9VXE7
Nup153	Q9VXE6
mbt	Q9VXE5
rok	Q9VXE3
RpS19a	P39018
SmG	Q9VXE0
CG9723	Q9VXD6
r	P05990
Axs	O97132
CG9634	Q9XZ14
if	Q9VPH0
mRpL22	Q9VXB5
CG4756	Q9VXB3
CG4768	Q9VXB1
CG9132	Q9VXB0
CG4789	Q9VXA9
CG4829	Q9VXA5
CG13004	Q9VXA4
CG9104	Q9VXA0
CG9099	Q9VX98
CG4880	Q9VX97
RhoGAP15B	Q9VX92
CG9086	Q9VX91
CG8949	Q9VX88
CG16700	Q9VX84
CG5004	M9MSQ1
RpS5a	Q24186
CG5010	Q9VX77
CG8675	Q9VX62
Fim	O61604
CG5445	Q9VX56
CG8557	Q9VX48
l(1)G0222	Q8MQX9
CG12991	Q9VX42
X11L	E1JJN6
CG8408	Q9VX39
CG5703	Q9VX36
CG8289	Q9VX35
RhoGAPp190	Q9VX32
CG8211	Q9VX31
beta-Spec	Q00963
CG32556	Q9VX26
CG8188	Q7K738
par-6	O97111
CG42270	X2JKZ0
Socs16D	Q9VX18
CG6398	Q9VX17
e(y)1	Q27272
Ucp4A	Q9VX14
CG15814	Q9VX13
CG6762	Q9VX10
CG6769	Q9VX08
mnb	P49657
CG7772	Q9VX02
CG6842	Q9Y162
CG7536	Q9VWZ2
dik	Q9VWZ1
CG7206	Q7KUW4
scu	O18404
RhoGAP16F	Q9VWY8
CG7192	Q9VWY7
Taf8	Q9VWY6
wupA	P36188
ari-1	Q94981
CrebB-17A	Q9VWW0
CG6179	Q9VWV8
CG32549	Q9VWV5
CG6361	A8JUP7
GalNAc-T2	Q8MV48
Aats-his	M9PHI2
wgn	Q9VWS4
Rip11	Q494I2
CG6617	Q9VWS1
Ing3	Q9VWS0
CG6659	Q9VWR8
CG6891	Q9VWQ7
Pk17E	Q9VWQ2
CG7053	Q9VWQ1
bnb	P29746
Pvf1	Q9BLX1
CG34422	Q9VWP5
CG7322	Q9VWP2
CG7288	Q9VWP1
CG34401	Q9VWN9
CG7332	Q9VWN5
CG7358	Q9VWN4
RhoGAP18B	Q9VWL9
CG7556	Q9VWL4
CG7453	Q9VWL3
CG14194	Q9VWK7
Ulp1	Q9VWK5
CG7889	Q9VWJ9
rictor	Q9VWJ6
vav	M9PHJ6
CG8010	Q9VWJ4
CG8034	Q7K0I7
out	Q9V3F9
kek5	Q9VWI6
mRpS14	Q9VWI5
Nat1	Q9VWI2
pcm	Q9VWI1
CG12203	Q9VWI0
CG14199	Q9VWH8
Pfrx	Q0KHQ6
CG14200	M9NFE1
l(1)G0156	Q9VWH4
CoRest	Q59E36
CG32534	C7LAG1
Grip84	Q9XYP7
car	Q9Y1I2
Tao-1	Q0KHQ5
RpS10b	Q9VWG3
CG14220	Q9VWG2
CG14207	Q8IQW5
CG12788	Q9VWF7
CG14222	Q9VWF5
e(y)3	Q9VWF2
CG14213	Q7JVP2
CG12237	Q9VWF0
Sec61gamma	Q9VWE9
Arp11	Q9VWE8
Ranbp21	Q9VWE7
CG14215	Q9VWE6
CG14216	Q9VWE4
Zw	P12646
dome	Q9VWE0
Ubqn	Q9VWD9
Mer	Q24564
CG14229	Q9VWD7
Cdc42	P40793
CG14232	Q9VWD5
Bap	Q24253
CG14235	Q8IQW2
CG18809	Q9I7R7
CG32528	Q9VWD0
CG12534	C0PVB3
CG12703	Q9VWC8
jog	Q9VWB7
CG32529	Q2MGL2
Rab35	F0JAF7
CG9577	Q9W5W8
CG9581	Q9W5W7
CG9578	Q9W5W6
sw	Q24246
Rab10	O15971
CG17065	Q9VR81
l(1)G0004	Q9VR89
Syx16	Q9GU66
HERC2	Q9VR91
Pp4-19C	O76932
cactin	Q9VR99
CG15456	Q9VRA0
CG11710	Q8T921
CG1702	Q9VRA4
RhoGAP19D	M9NFH4
Tak1	Q9V3Q6
Cyp6v1	Q9VRB3
CG1532	Q9VRD4
Ntf-2	Q9VRD6
Mgstl	Q8SY19
CG1753	Q9VRD9
CG1518	A0A3Q7YS61
CG32512	F0JAF4
CG15445	Q9VRF3
CG32521	Q9VRF8
Pros45	O18413
CG33713	Q9VRG6
CG1486	Q9VRG8
tty	Q9U6L4
fliI	Q24020
dod	P54353
pen	O61345
sol	P27398
bbx	O61348
slgA	Q04499
Hlc	Q9VRI0
CG14476	Q7KMM4
DIP1	Q9GND0
CG14621	Q9VR50
CG14614	Q9VR53
CG14619	Q8IQ27
CG14613	Q9VR55
CG14618	Q9VR56
CG12576	Q9VR57
CG14617	Q2PDW6
l(1)G0196	Q9VR59
CG17600	Q9VR60
CG17598	Q9VR62
fog	P40795
Rab21	Q7PLE9
CG13865	Q9W5N0
CG2893	Q7PLW1
CG17168	Q9W5Q1
su(f)	P25991
